Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
87	349	0	0.531728968	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
88	351	0	0.537840795	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
89	354	0	0.543952622	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
90	357	0	0.550064449	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
91	360	0	0.556176276	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
92	363	0	0.562288104	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
93	366	0	0.568399931	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
94	368	0	0.574511758	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
95	371	0	0.580623585	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
96	375	0	0.586735413	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
97	377	0	0.59284724	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
98	380	0	0.598959067	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
99	382	0	0.605070894	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
100	385	0	0.611182721	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
101	394	0	0.617294549	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
102	397	0	0.623406376	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
103	400	0	0.629518203	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
104	402	0	0.63563003	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
105	405	0	0.641741857	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
106	408	0	0.647853685	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
107	411	0	0.653965512	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
108	414	0	0.660077339	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
109	417	0	0.666189166	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
110	420	0	0.672300994	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
111	423	0	0.678412821	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
112	426	0	0.684524648	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
113	428	0	0.690636475	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
114	431	0	0.696748302	0.0001	0.0001	0.0001	0.0001	5.42101086e-20	0	0	0	0	0	3
