Iteration	CPUTime	PhysTime	Travels
1	38	0	0.00611182721
2	43	0	0.0122236544
3	46	0	0.0183354816
4	50	0	0.0244473089
5	53	0	0.0305591361
6	57	0	0.0366709633
7	60	0	0.0427827905
8	63	0	0.0488946177
9	66	0	0.0550064449
10	69	0	0.0611182721
11	73	0	0.0672300994
12	76	0	0.0733419266
13	79	0	0.0794537538
14	81	0	0.085565581
15	84	0	0.0916774082
16	88	0	0.0977892354
17	91	0	0.103901063
18	94	0	0.11001289
19	97	0	0.116124717
20	100	0	0.122236544
21	104	0	0.128348371
22	107	0	0.134460199
23	110	0	0.140572026
24	113	0	0.146683853
25	116	0	0.15279568
26	120	0	0.158907508
27	123	0	0.165019335
28	126	0	0.171131162
29	129	0	0.177242989
30	132	0	0.183354816
31	136	0	0.189466644
32	145	0	0.195578471
33	148	0	0.201690298
34	151	0	0.207802125
35	155	0	0.213913952
36	158	0	0.22002578
37	167	0	0.226137607
38	170	0	0.232249434
39	186	0	0.238361261
40	196	0	0.244473089
41	200	0	0.250584916
42	203	0	0.256696743
43	206	0	0.26280857
44	208	0	0.268920397
45	211	0	0.275032225
46	214	0	0.281144052
47	217	0	0.287255879
48	220	0	0.293367706
49	223	0	0.299479533
50	226	0	0.305591361
51	229	0	0.311703188
52	232	0	0.317815015
53	235	0	0.323926842
54	247	0	0.33003867
55	250	0	0.336150497
56	253	0	0.342262324
57	256	0	0.348374151
58	259	0	0.354485978
59	262	0	0.360597806
60	264	0	0.366709633
61	268	0	0.37282146
62	270	0	0.378933287
63	273	0	0.385045114
64	276	0	0.391156942
65	279	0	0.397268769
66	282	0	0.403380596
67	285	0	0.409492423
68	288	0	0.415604251
69	290	0	0.421716078
70	293	0	0.427827905
71	297	0	0.433939732
72	299	0	0.440051559
73	302	0	0.446163387
74	305	0	0.452275214
75	308	0	0.458387041
76	311	0	0.464498868
77	314	0	0.470610695
78	316	0	0.476722523
79	319	0	0.48283435
80	322	0	0.488946177
81	331	0	0.495058004
82	334	0	0.501169832
83	337	0	0.507281659
84	339	0	0.513393486
85	342	0	0.519505313
86	346	0	0.52561714
87	349	0	0.531728968
88	351	0	0.537840795
89	354	0	0.543952622
90	357	0	0.550064449
91	360	0	0.556176276
92	363	0	0.562288104
93	366	0	0.568399931
94	368	0	0.574511758
95	371	0	0.580623585
96	375	0	0.586735413
97	377	0	0.59284724
98	380	0	0.598959067
99	382	0	0.605070894
100	385	0	0.611182721
101	394	0	0.617294549
102	397	0	0.623406376
103	400	0	0.629518203
104	402	0	0.63563003
105	405	0	0.641741857
106	408	0	0.647853685
107	411	0	0.653965512
108	414	0	0.660077339
109	417	0	0.666189166
110	420	0	0.672300994
111	423	0	0.678412821
112	426	0	0.684524648
113	428	0	0.690636475
114	431	0	0.696748302
115	434	0	0.70286013
116	437	0	0.708971957
117	440	0	0.715083784
118	443	0	0.721195611
119	446	0	0.727307438
120	448	0	0.733419266
121	452	0	0.739531093
122	454	0	0.74564292
123	457	0	0.751754747
124	460	0	0.757866575
125	462	0	0.763978402
126	465	0	0.770090229
127	468	0	0.776202056
128	471	0	0.782313883
129	473	0	0.788425711
130	476	0	0.794537538
131	480	0	0.800649365
132	482	0	0.806761192
133	485	0	0.812873019
134	488	0	0.818984847
135	490	0	0.825096674
136	494	0	0.831208501
137	496	0	0.837320328
138	499	0	0.843432156
139	502	0	0.849543983
140	504	0	0.85565581
141	508	0	0.861767637
142	510	0	0.867879464
143	513	0	0.873991292
144	516	0	0.880103119
145	518	0	0.886214946
146	522	0	0.892326773
147	524	0	0.8984386
148	527	0	0.904550428
149	530	0	0.910662255
150	532	0	0.916774082
151	536	0	0.922885909
152	538	0	0.928997737
153	541	0	0.935109564
154	544	0	0.941221391
155	547	0	0.947333218
156	550	0	0.953445045
157	553	0	0.959556873
158	556	0	0.9656687
159	558	0	0.971780527
160	561	0	0.977892354
161	564	0	0.984004181
162	567	0	0.990116009
163	570	0	0.996227836
164	572	0	1.00233966
