Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
64	276	0	0.391156942	293.2	293.2	293.2	293.2	1.26760824e-11	0	0	0	0	0	3
65	279	0	0.397268769	293.2	293.2	293.2	293.2	1.31308298e-11	0	0	0	0	0	3
66	282	0	0.403380596	293.2	293.2	293.2	293.2	1.35855771e-11	0	0	0	0	0	3
67	285	0	0.409492423	293.2	293.2	293.2	293.2	1.3983481e-11	0	0	0	0	0	3
68	288	0	0.415604251	293.2	293.2	293.2	293.2	1.44950718e-11	0	0	0	0	0	3
69	290	0	0.421716078	293.2	293.2	293.2	293.2	1.49498192e-11	0	0	0	0	0	3
70	293	0	0.427827905	293.2	293.2	293.2	293.2	1.54045665e-11	0	0	0	0	0	3
71	297	0	0.433939732	293.2	293.2	293.2	293.2	1.58593139e-11	0	0	0	0	0	3
72	299	0	0.440051559	293.2	293.2	293.2	293.2	1.63709046e-11	0	0	0	0	0	3
73	302	0	0.446163387	293.2	293.2	293.2	293.2	1.68824954e-11	0	0	0	0	0	3
74	305	0	0.452275214	293.2	293.2	293.2	293.2	1.73940862e-11	0	0	0	0	0	3
75	308	0	0.458387041	293.2	293.2	293.2	293.2	1.79056769e-11	0	0	0	0	0	3
76	311	0	0.464498868	293.2	293.2	293.2	293.2	1.84172677e-11	0	0	0	0	0	3
77	314	0	0.470610695	293.2	293.2	293.2	293.2	1.88720151e-11	0	0	0	0	0	3
78	316	0	0.476722523	293.2	293.2	293.2	293.2	1.94404493e-11	0	0	0	0	0	3
79	319	0	0.48283435	293.2	293.2	293.2	293.2	1.995204e-11	0	0	0	0	0	3
80	322	0	0.488946177	293.2	293.2	293.2	293.2	2.05204742e-11	0	0	0	0	0	3
81	331	0	0.495058004	293.2	293.2	293.2	293.2	2.09752216e-11	0	0	0	0	0	3
82	334	0	0.501169832	293.2	293.2	293.2	293.2	2.15436557e-11	0	0	0	0	0	3
83	337	0	0.507281659	293.2	293.2	293.2	293.2	2.22257768e-11	0	0	0	0	0	3
84	339	0	0.513393486	293.2	293.2	293.2	293.2	2.29647412e-11	0	0	0	0	0	3
85	342	0	0.519505313	293.2	293.2	293.2	293.2	2.37605491e-11	0	0	0	0	0	3
86	346	0	0.52561714	293.2	293.2	293.2	293.2	2.46700438e-11	0	0	0	0	0	3
87	349	0	0.531728968	293.2	293.2	293.2	293.2	2.54658516e-11	0	0	0	0	0	3
88	351	0	0.537840795	293.2	293.2	293.2	293.2	2.63185029e-11	0	0	0	0	0	3
89	354	0	0.543952622	293.2	293.2	293.2	293.2	2.72848411e-11	0	0	0	0	0	3
90	357	0	0.550064449	293.2	293.2	293.2	293.2	2.82511792e-11	0	0	0	0	0	3
91	360	0	0.556176276	293.2	293.2	293.2	293.2	2.91606739e-11	0	0	0	0	0	3
92	363	0	0.562288104	293.2	293.2	293.2	293.2	3.0127012e-11	0	0	0	0	0	3
93	366	0	0.568399931	293.2	293.2	293.2	293.2	3.10365067e-11	0	0	0	0	0	3
94	368	0	0.574511758	293.2	293.2	293.2	293.2	3.20028448e-11	0	0	0	0	0	3
95	371	0	0.580623585	293.2	293.2	293.2	293.2	3.29123395e-11	0	0	0	0	0	3
96	375	0	0.586735413	293.2	293.2	293.2	293.2	3.38218342e-11	0	0	0	0	0	3
97	377	0	0.59284724	293.2	293.2	293.2	293.2	3.47881723e-11	0	0	0	0	0	3
98	380	0	0.598959067	293.2	293.2	293.2	293.2	3.57545105e-11	0	0	0	0	0	3
99	382	0	0.605070894	293.2	293.2	293.2	293.2	3.67208486e-11	0	0	0	0	0	3
100	385	0	0.611182721	293.2	293.2	293.2	293.2	3.77440301e-11	0	0	0	0	0	3
101	394	0	0.617294549	293.2	293.2	293.2	293.2	3.88240551e-11	0	0	0	0	0	3
102	397	0	0.623406376	293.2	293.2	293.2	293.2	3.990408e-11	0	0	0	0	0	3
103	400	0	0.629518203	293.2	293.2	293.2	293.2	4.07567313e-11	0	0	0	0	0	3
104	402	0	0.63563003	293.2	293.2	293.2	293.2	4.17230694e-11	0	0	0	0	0	3
105	405	0	0.641741857	293.2	293.2	293.2	293.2	4.26894076e-11	0	0	0	0	0	3
106	408	0	0.647853685	293.2	293.2	293.2	293.2	4.35989023e-11	0	0	0	0	0	3
107	411	0	0.653965512	293.2	293.2	293.2	293.2	4.4508397e-11	0	0	0	0	0	3
108	414	0	0.660077339	293.2	293.2	293.2	293.2	4.55315785e-11	0	0	0	0	0	3
109	417	0	0.666189166	293.2	293.2	293.2	293.2	4.64410732e-11	0	0	0	0	0	3
110	420	0	0.672300994	293.2	293.2	293.2	293.2	4.74074113e-11	0	0	0	0	0	3
111	423	0	0.678412821	293.2	293.2	293.2	293.2	4.8316906e-11	0	0	0	0	0	3
112	426	0	0.684524648	293.2	293.2	293.2	293.2	4.9396931e-11	0	0	0	0	0	3
113	428	0	0.690636475	293.2	293.2	293.2	293.2	5.02495823e-11	0	0	0	0	0	3
114	431	0	0.696748302	293.2	293.2	293.2	293.2	5.12159204e-11	0	0	0	0	0	3
115	434	0	0.70286013	293.2	293.2	293.2	293.2	5.21254151e-11	0	0	0	0	0	3
116	437	0	0.708971957	293.2	293.2	293.2	293.2	5.30349098e-11	0	0	0	0	0	3
117	440	0	0.715083784	293.2	293.2	293.2	293.2	5.40580913e-11	0	0	0	0	0	3
118	443	0	0.721195611	293.2	293.2	293.2	293.2	5.4967586e-11	0	0	0	0	0	3
119	446	0	0.727307438	293.2	293.2	293.2	293.2	5.58770807e-11	0	0	0	0	0	3
120	448	0	0.733419266	293.2	293.2	293.2	293.2	5.6729732e-11	0	0	0	0	0	3
121	452	0	0.739531093	293.2	293.2	293.2	293.2	5.76392267e-11	0	0	0	0	0	3
122	454	0	0.74564292	293.2	293.2	293.2	293.2	5.8491878e-11	0	0	0	0	0	3
123	457	0	0.751754747	293.2	293.2	293.2	293.2	5.93445293e-11	0	0	0	0	0	3
124	460	0	0.757866575	293.2	293.2	293.2	293.2	6.03108674e-11	0	0	0	0	0	3
125	462	0	0.763978402	293.2	293.2	293.2	293.2	6.11635187e-11	0	0	0	0	0	3
126	465	0	0.770090229	293.2	293.2	293.2	293.2	6.20730134e-11	0	0	0	0	0	3
127	468	0	0.776202056	293.2	293.2	293.2	293.2	6.29256647e-11	0	0	0	0	0	3
128	471	0	0.782313883	293.2	293.2	293.2	293.2	6.36646291e-11	0	0	0	0	0	3
129	473	0	0.788425711	293.2	293.2	293.2	293.2	6.4460437e-11	0	0	0	0	0	3
130	476	0	0.794537538	293.2	293.2	293.2	293.2	6.51994014e-11	0	0	0	0	0	3
131	480	0	0.800649365	293.2	293.2	293.2	293.2	6.59952093e-11	0	0	0	0	0	3
132	482	0	0.806761192	293.2	293.2	293.2	293.2	6.67341737e-11	0	0	0	0	0	3
133	485	0	0.812873019	293.2	293.2	293.2	293.2	6.74731382e-11	0	0	0	0	0	3
134	488	0	0.818984847	293.2	293.2	293.2	293.2	6.81552592e-11	0	0	0	0	0	3
