Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	38	0	0.00611182721	101325	101325	101325	101325	0	0	0	0	0	0	3
2	43	0	0.0122236544	101325	101325	101325	101325	1.45519152e-10	0	0	0	0	0	3
3	46	0	0.0183354816	101325	101325	101325	101325	3.0559022e-10	0	0	0	0	0	3
4	50	0	0.0244473089	101325	101325	101325	101325	3.92901711e-10	0	0	0	0	0	3
5	53	0	0.0305591361	101325	101325	101325	101325	3.92901711e-10	0	0	0	0	0	3
6	57	0	0.0366709633	101325	101325	101325	101325	3.92901711e-10	0	0	0	0	0	3
7	60	0	0.0427827905	101325	101325	101325	101325	3.92901711e-10	0	0	0	0	0	3
8	63	0	0.0488946177	101325	101325	101325	101325	3.92901711e-10	0	0	0	0	0	3
9	66	0	0.0550064449	101325	101325	101325	101325	4.51109372e-10	0	0	0	0	0	3
10	69	0	0.0611182721	101325	101325	101325	101325	4.94765118e-10	0	0	0	0	0	3
11	73	0	0.0672300994	101325	101325	101325	101325	6.54836185e-10	0	0	0	0	0	3
12	76	0	0.0733419266	101325	101325	101325	101325	7.13043846e-10	0	0	0	0	0	3
13	79	0	0.0794537538	101325	101325	101325	101325	7.85803422e-10	0	0	0	0	0	3
14	81	0	0.085565581	101325	101325	101325	101325	8.44011083e-10	0	0	0	0	0	3
15	84	0	0.0916774082	101325	101325	101325	101325	8.58562998e-10	0	0	0	0	0	3
16	88	0	0.0977892354	101325	101325	101325	101325	8.87666829e-10	0	0	0	0	0	3
17	91	0	0.103901063	101325	101325	101325	101325	1.01863407e-09	0	0	0	0	0	3
18	94	0	0.11001289	101325	101325	101325	101325	1.03318598e-09	0	0	0	0	0	3
19	97	0	0.116124717	101325	101325	101325	101325	1.09139364e-09	0	0	0	0	0	3
20	100	0	0.122236544	101325	101325	101325	101325	1.12049747e-09	0	0	0	0	0	3
21	104	0	0.128348371	101325	101325	101325	101325	1.1496013e-09	0	0	0	0	0	3
22	107	0	0.134460199	101325	101325	101325	101325	1.17870513e-09	0	0	0	0	0	3
23	110	0	0.140572026	101325	101325	101325	101325	1.23691279e-09	0	0	0	0	0	3
24	113	0	0.146683853	101325	101325	101325	101325	1.32422429e-09	0	0	0	0	0	3
25	116	0	0.15279568	101325	101325	101325	101325	1.35332812e-09	0	0	0	0	0	3
26	120	0	0.158907508	101325	101325	101325	101325	1.38243195e-09	0	0	0	0	0	3
27	123	0	0.165019335	101325	101325	101325	101325	1.39698386e-09	0	0	0	0	0	3
28	126	0	0.171131162	101325	101325	101325	101325	1.44063961e-09	0	0	0	0	0	3
29	129	0	0.177242989	101325	101325	101325	101325	1.48429535e-09	0	0	0	0	0	3
30	132	0	0.183354816	101325	101325	101325	101325	1.49884727e-09	0	0	0	0	0	3
31	136	0	0.189466644	101325	101325	101325	101325	1.5279511e-09	0	0	0	0	0	3
32	145	0	0.195578471	101325	101325	101325	101325	1.54250301e-09	0	0	0	0	0	3
33	148	0	0.201690298	101325	101325	101325	101325	1.55705493e-09	0	0	0	0	0	3
34	151	0	0.207802125	101325	101325	101325	101325	1.58615876e-09	0	0	0	0	0	3
35	155	0	0.213913952	101325	101325	101325	101325	1.61526259e-09	0	0	0	0	0	3
36	158	0	0.22002578	101325	101325	101325	101325	1.62981451e-09	0	0	0	0	0	3
37	167	0	0.226137607	101325	101325	101325	101325	1.65891834e-09	0	0	0	0	0	3
38	170	0	0.232249434	101325	101325	101325	101325	1.65891834e-09	0	0	0	0	0	3
39	186	0	0.238361261	101325	101325	101325	101325	1.67347025e-09	0	0	0	0	0	3
40	196	0	0.244473089	101325	101325	101325	101325	1.717126e-09	0	0	0	0	0	3
41	200	0	0.250584916	101325	101325	101325	101325	1.717126e-09	0	0	0	0	0	3
42	203	0	0.256696743	101325	101325	101325	101325	1.76078174e-09	0	0	0	0	0	3
43	206	0	0.26280857	101325	101325	101325	101325	1.78988557e-09	0	0	0	0	0	3
44	208	0	0.268920397	101325	101325	101325	101325	1.78988557e-09	0	0	0	0	0	3
45	211	0	0.275032225	101325	101325	101325	101325	1.8189894e-09	0	0	0	0	0	3
46	214	0	0.281144052	101325	101325	101325	101325	1.84809323e-09	0	0	0	0	0	3
47	217	0	0.287255879	101325	101325	101325	101325	1.86264515e-09	0	0	0	0	0	3
48	220	0	0.293367706	101325	101325	101325	101325	1.87719706e-09	0	0	0	0	0	3
49	223	0	0.299479533	101325	101325	101325	101325	1.89174898e-09	0	0	0	0	0	3
50	226	0	0.305591361	101325	101325	101325	101325	1.89174898e-09	0	0	0	0	0	3
51	229	0	0.311703188	101325	101325	101325	101325	1.92085281e-09	0	0	0	0	0	3
52	232	0	0.317815015	101325	101325	101325	101325	1.92085281e-09	0	0	0	0	0	3
53	235	0	0.323926842	101325	101325	101325	101325	1.93540473e-09	0	0	0	0	0	3
54	247	0	0.33003867	101325	101325	101325	101325	1.96450856e-09	0	0	0	0	0	3
55	250	0	0.336150497	101325	101325	101325	101325	1.99361239e-09	0	0	0	0	0	3
56	253	0	0.342262324	101325	101325	101325	101325	2.02271622e-09	0	0	0	0	0	3
57	256	0	0.348374151	101325	101325	101325	101325	2.03726813e-09	0	0	0	0	0	3
58	259	0	0.354485978	101325	101325	101325	101325	2.05182005e-09	0	0	0	0	0	3
59	262	0	0.360597806	101325	101325	101325	101325	2.06637196e-09	0	0	0	0	0	3
60	264	0	0.366709633	101325	101325	101325	101325	2.06637196e-09	0	0	0	0	0	3
